	PolyIC...Bf	PolyIC...Bf.1	PolyIC...Bf.2	PolyIC...Bf.3	PolyIC...Bf.4	PolyIC...Bf.5	PolyIC...Bf.6	PolyIC...Bf.7	PolyIC...Bf.8	PolyIC...Bf.9	PolyIC	PolyIC.1	PolyIC.2	PolyIC.3	PolyIC.4	PolyIC.5	PolyIC.6	PolyIC.7	PolyIC.8	PolyIC.9
95	7	3	4	0	4	3	1	0	2	3	3	2	0	3	0	1	7	1	14	1
94	3	0	4	1	3	1	0	5	1	0	4	6	1	0	0	3	2	1	1	5
97	20	0	2	1	0	0	3	3	0	1	6	3	1	0	1	0	3	0	0	0
96	0	0	0	0	0	2	1	2	3	1	3	0	0	0	0	0	0	0	0	0
554	0	0	0	3	0	3	0	1	0	0	0	0	0	1	0	0	1	0	2	1
553	1	0	1	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0
552	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1
1199	4	1	3	5	2	1	7	8	1	7	1	2	4	4	4	3	2	2	6	2
1198	4	23	13	10	2	2	12	7	14	10	6	16	8	8	7	8	13	7	1	3
1171	2	0	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	1
510	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	1
1287	13	6	8	11	11	11	7	16	9	10	9	2	16	4	5	10	8	10	8	17
1280	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
1283	3	0	0	3	1	2	0	2	0	0	2	0	2	0	1	0	1	2	1	2
1282	0	2	1	0	1	3	1	2	0	2	1	2	1	0	1	0	0	4	0	0
515	1	0	0	2	2	1	0	1	1	1	0	1	0	1	0	2	0	0	0	0
1289	6	2	1	1	1	1	1	1	3	2	0	0	0	2	1	0	1	1	0	0
1288	3	4	4	8	8	6	3	7	1	1	6	8	9	18	12	5	6	3	14	10
689	0	1	0	0	1	0	0	2	0	1	2	0	0	0	1	0	2	0	0	0
516	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	1	1	0	0
682	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	1	1	0	0	2
1225	1	3	5	4	3	6	3	7	4	5	4	4	7	3	4	6	3	1	1	5
1224	5	3	4	0	3	7	6	1	10	4	1	0	0	0	0	3	7	7	1	5
627	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
1221	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
624	1	0	1	0	1	1	1	1	2	1	3	3	0	1	0	0	0	0	2	2
1373	1	4	1	10	0	2	4	4	2	13	6	2	4	7	3	6	4	4	4	3
1375	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
1374	0	0	0	0	0	1	1	0	0	0	5	1	0	0	0	2	2	0	7	3
400	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1
409	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0
408	0	1	0	0	0	1	0	1	0	1	0	3	0	2	0	1	1	0	0	1
1343	18	26	7	28	18	29	13	14	26	18	9	15	14	16	15	16	28	18	20	33
454	0	1	2	1	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0
456	1	1	2	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1
379	9	3	10	0	6	2	2	0	1	2	14	3	0	3	1	0	4	3	3	1
371	0	1	0	1	0	0	1	0	1	1	3	0	0	0	0	1	0	0	0	0
370	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
372	0	0	0	0	0	0	1	0	0	0	2	0	0	4	0	0	0	0	0	2
375	0	0	0	0	2	0	1	0	2	0	0	3	0	0	0	1	4	2	1	2
374	2	4	8	9	3	0	1	1	3	1	1	1	5	4	2	4	4	3	5	4
377	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	3	0
376	2	0	0	1	0	4	0	0	1	1	1	0	0	0	0	0	0	0	0	0
392	4	0	1	2	3	2	0	1	0	2	1	1	0	2	1	2	1	1	0	1
391	3	4	2	4	1	1	3	2	3	5	3	2	10	3	1	7	3	1	1	4
390	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
397	0	0	0	0	0	4	0	2	4	0	0	1	0	0	0	0	0	0	0	0
396	4	8	9	9	7	1	4	5	4	3	9	12	3	3	10	7	8	5	0	3
395	0	0	0	2	0	1	0	5	1	1	0	1	1	0	2	0	0	0	0	0
394	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	2	0
245	2	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0
244	1	2	0	1	0	2	0	1	0	0	1	0	0	1	2	0	0	1	1	1
247	0	0	0	2	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0	0
246	0	0	0	1	0	2	0	0	0	1	0	2	0	1	0	1	0	0	0	0
